Time,Probe_TempRaw,Probe_TempCal,Condraw,CondCal,SpCond,Salinity,ChlRaw,ChlRawRangeCI,ChlVolts,ChlVoltsRangeCI,ChlCal,ChlCalRangeCI,CDOMRaw,CDOMVolts,CDOMCal,CDOMChlEQ,ChlAdj,TempRaw,TempCal
13-12-2024 20:38:52,Fail,Fail,Fail,Fail,Fail,Fail,290.26315789473693,4.359243290054337,0.354411670201144,0.005322641379797726,0.43607610057894747,0.006549097822780579,256,0.3125763125763126,8.24999936,0.2816,0.15447610057894745,66,-0.2655223920000003
13-12-2024 20:39:25,Fail,Fail,Fail,Fail,Fail,Fail,284.2801418439715,4.3575861501662985,0.34710640029788953,0.00532061800997106,0.42708753197092175,0.006546608222978348,844,1.0305250305250304,27.19921664,0.9284,-0.5013124680290783,91,0.24753730799999984
13-12-2024 20:39:57,Fail,Fail,Fail,Fail,Fail,Fail,286.23076923076945,4.915072820943237,0.3494881187188882,0.0060013099156816085,0.43001805195384646,0.007384146873354739,1100,1.343101343101343,35.449216,1.21,-0.7799819480461535,37,-0.8606716440000002
13-12-2024 20:40:30,Fail,Fail,Fail,Fail,Fail,Fail,281.06382978723406,4.194462072696751,0.3431792793494921,0.0051214433122060464,0.4222555139148937,0.006301539189314575,651,0.7948717948717948,20.979490560000002,0.7161000000000001,-0.2938444860851064,70,-0.18343284000000026
13-12-2024 20:41:03,Fail,Fail,Fail,Fail,Fail,Fail,282.2874015748031,4.758049367317767,0.34467326199609655,0.0058095840870790805,0.42409374380866127,0.007148243096061492,592,0.7228327228327229,19.078123520000002,0.6512,-0.22710625619133873,53,-0.5323134360000001
13-12-2024 20:57:03,Fail,Fail,Fail,Fail,Fail,Fail,237.69491525423715,4.683979067838607,0.2902257817512053,0.005719144160975099,0.3571003379254235,0.007036963774221755,875,1.0683760683760684,28.198240000000002,0.9625,-0.6053996620745765,0,-1.62
13-12-2024 20:57:37,Fail,Fail,Fail,Fail,Fail,Fail,243.72695035460984,4.373291353675654,0.2975909039738826,0.005339794082632057,0.3661625501751772,0.0065702028946370995,1047,1.2783882783882783,33.74120832,1.1517000000000002,-0.785537449824823,32,-0.9632835840000001
13-12-2024 20:58:10,Fail,Fail,Fail,Fail,Fail,Fail,240.73134328358208,4.658585787030404,0.2939332640825178,0.005688138934103058,0.361662107680597,0.006998814244822081,1032,1.26007326007326,33.25780992,1.1352,-0.773537892319403,86,0.14492536799999978
13-12-2024 20:58:43,Fail,Fail,Fail,Fail,Fail,Fail,244.01063829787233,4.628877342176565,0.29793728729898944,0.005651864886662473,0.3665887480191489,0.006954181839937873,1070,1.3064713064713065,34.4824192,1.177,-0.8104112519808511,88,0.1859701439999999
13-12-2024 20:59:15,Fail,Fail,Fail,Fail,Fail,Fail,241.0886524822695,4.23055096240148,0.2943695390503901,0.005165507890600098,0.3621989102262412,0.006355757238931362,1037,1.2661782661782661,33.418942720000004,1.1407,-0.7785010897737589,42,-0.7580597040000001
